,file,lvl_three,lvl_one,lvl_two
0,1_220_F_83683073_O4yJOnarzTjKXuUBAgkAifmiC8d0IRxW.jpg,1,0,0
1,20_220_F_5292725_818KTy3xv82nEkNolcs2m37MOV86sKbr.jpg,20,1,1
2,20_220_F_47187567_lwYwc9UQtBK5Be6v4P7HNsCc4HhrsszU.jpg,20,1,1
3,1_220_F_38932828_Osns7NBWCq8AhJonYpQArrToDLLhTUEi.jpg,1,0,0
4,1_220_F_97168737_y0VWy7kLMby9BO6lHDfpyfNpW9o0S8FH.jpg,1,0,0
5,1_220_F_63480504_bHdqPtX21XAKsGPVVxkt2SFRfXuxqFzI.jpg,1,0,0
6,11_220_F_11081857_XRemNRuUL05TvDCldDh4XOEHdq3DrOtF.jpg,11,1,2
7,10_220_F_98184929_bo7dbtYraAVKS8OWOyCQI14X0sAchWJ8.jpg,10,1,3
8,14_220_F_64449450_fPmjcrPDHozByknb28bWhPgNrLuqmKeI.jpg,14,1,3
9,11_220_F_71471484_RHgaJVRuo4CsHJekC4W2kPIET4HxxkSF.jpg,11,1,2
10,1_220_F_79728812_NRylZTJYIBYF2ACWE925dpFc47wDaWdn.jpg,1,0,0
11,19_220_F_61169980_pDYZZWsBbfMOkLJ38YSwPOrpiUJ65W8k.jpg,19,1,1
12,22_220_F_100886987_olL8xmyuQa2QDGcF1HAKnKCKcYutcwrG.jpg,22,0,4
13,24_220_F_1601517_bkT0EFGmng3vnBhZbyzMNOuHogY4xp.jpg,24,0,0
14,22_220_F_58146848_reaRiBxwIJMHbmjF6z944HMdWHWuQSc7.jpg,22,0,4
15,16_220_F_91876329_LI4Ih6ZeEtuPwejIaor7mqnmXalShBXt.jpg,16,0,0
16,19_220_F_85298519_p2es7vtwUASI42oAjtrpMko2lEFooXuU.jpg,19,1,1
17,10_220_F_76335138_CD22D2t5VwZZmrjDayRg32VcY5AngEli.jpg,10,1,3
18,17_220_F_107732413_Fd6MCUbb2jNTNmSrQtVxXKLHpyZuejKj.jpg,17,1,2
19,14_220_F_24154592_RACoYzNKrXD3nCEnXF9OsOznfCvI4ihM.jpg,14,1,3
20,4_220_F_31806794_4tALkzoZvlxOsHpKZyOEZ4afMWlXp6uj.jpg,4,1,1
21,18_220_F_78092595_AAjhWhvDv1JeYU9jPSfnXGie73jBJ6QK.jpg,18,0,0
22,8_220_F_88894126_FxFiF2QcWDmBMQZxKowLpcAiioZU1Vh6.jpg,8,1,2
23,0_220_F_106680566_EcVIsN9HAJQ1SiAGudGZxLqbGtcMIJ2M.jpg,0,0,5
24,1_220_F_68546073_3kWCOnrBtae7y2dZ9MAPkw91YJ5WJSYC.jpg,1,0,0
25,10_220_F_76434455_VcxNNmmTCvgC8lTykseGuxjUr2gXBpGX.jpg,10,1,3
26,18_220_F_35224588_p1Mk5R1wrZ93MSjxG9WuQnQkGdN5uzAZ.jpg,18,0,0
27,11_220_F_58860538_xzIXIgSCdK3mGwnwwr3aDPwc8AoJmMMa.jpg,11,1,2
28,13_220_F_76431389_OooTY3FYBbrCUEAo5Yyag9Ar8XSjGKMV.jpg,13,1,1
29,1_220_F_34964222_FyEJiK7vJTn4OIXRDSOeG7bimyW7bQ8h.jpg,1,0,0
30,0_220_F_95026340_9NYhCEZWRYld3dkzqAWFdYg2rBwzDn2D.jpg,0,0,5
31,10_220_F_99257064_HNhj2Fzn0P6SWJXLUxngZwQPgpS1iHkq.jpg,10,1,3
32,10_220_F_34207186_rN1rdzhRkAh7KSBJLFr5wFlYehavumwb.jpg,10,1,3
33,19_220_F_98899557_nkTt3nn0QpysesfJ6O5U8Q35YyG0vmDY.jpg,19,1,1
34,1_220_F_93659597_bPKcpC8HW1ia9OC50QzEozunyJd3Q82r.jpg,1,0,0
35,11_220_F_64021815_Cw2poCNg5bJtvYK1DgB9ziy7CXAepZKs.jpg,11,1,2
36,10_220_F_38135280_rvx5nAnU4vyPeKl8cYO3oAW7GKEHMkN3.jpg,10,1,3
37,1_220_F_47328979_wRBQmPtFbpyH2FxarFNPDzxrTpYL4Yuq.jpg,1,0,0
38,1_220_F_103458050_htOgMfbgl8MUjWDavfCLa2eQk8RKm73J.jpg,1,0,0
39,1_220_F_23640632_sma5qxmHiVBaCwFTokjBPbpToGNMMXU4.jpg,1,0,0
40,14_220_F_47516022_yapLMAyTQI8sv6MOWxsLobs6OfMhxBmm.jpg,14,1,3
41,14_220_F_102503685_mkpKt9XTDPaDVgBtWFemj3oG2yyBTgK6.jpg,14,1,3
42,15_220_F_57202625_FkMbYlGWwMe8taUpZOCs7tgLBwQbK1WP.jpg,15,0,0
